CustomerID,Name,Email,Phone,City,RegistrationDate,Gender,Age
CUST1,Samuel Merchant,qbath@example.net,+918059025480,Faridabad,2022-07-04,Male,27
CUST2,Ekbal Gara,suhanikapadia@example.org,+917625214977,Bangalore,2022-02-26,Male,21
CUST3,Gunbir Kumar,ektagopal@example.com,+912753652037,Patna,2022-10-29,Female,41
CUST4,Netra Korpal,aahanarajagopal@example.com,05706070519,Kanpur,2024-10-22,Female,54
CUST5,Krish Swamy,mgera@example.net,02883645815,Patna,2024-07-01,Male,50
CUST6,Ishanvi Bhandari,sibalbhavini@example.com,+915797558248,Pune,2023-12-23,Female,54
CUST7,Baghyawati Natt,iamble@example.com,7188422325,Patna,2024-04-30,Male,48
CUST8,Wahab Varghese,logan40@example.net,07413704156,Varanasi,2023-01-01,Female,43
CUST9,Warda Naik,prao@example.com,05449380481,Lucknow,2024-08-30,Female,21
CUST10,Zashil Buch,nandiniswaminathan@example.org,01919534777,Delhi,2022-11-06,Male,26
CUST11,Arin Mohanty,kothariishanvi@example.com,2661654442,Indore,2024-07-05,Male,51
CUST12,Yauvani Bali,edhithavarty@example.com,7938358526,Jaipur,2022-09-29,Female,46
CUST13,Ati Tandon,arunima80@example.net,+910977704125,Surat,2023-04-27,Male,59
CUST14,Baljiwan Memon,kondajagat@example.net,03335286748,Indore,2023-02-02,Female,61
CUST15,Gunbir Kara,sara29@example.org,02512073562,Nashik,2024-06-20,Male,50
CUST16,Ekalinga Desai,kavya73@example.org,00786636410,Jaipur,2022-06-27,Female,52
CUST17,Samesh Kaul,yyadav@example.net,05293702647,Faridabad,2023-10-04,Male,43
CUST18,Samar Mukherjee,jkannan@example.com,+919836310027,Indore,2024-03-19,Female,58
CUST19,Ubika Bhavsar,timothy08@example.org,01754135149,Chennai,2022-10-09,Male,43
CUST20,Arjun Boase,chanaforum@example.com,+911563563484,Kolkata,2023-02-27,Male,22
CUST21,Tarak Goswami,xalak76@example.org,+912611150606,Delhi,2024-07-23,Female,40
