CustomerID,Name,Email,Phone,Address,RegistrationDate,Gender,Age
CUST1,Neel Sant,siddharthmangal@example.com,+918247159622,"67
Khalsa Marg, Bangalore",2023-06-17,Female,33
CUST2,Samar Natarajan,bbuch@example.org,6354299142,"95, Mall Circle, Meerut",2024-07-21,Female,59
CUST3,Praneel Mahal,balapallavi@example.com,+917985951386,"82
Vyas Zila, Ahmedabad",2022-06-30,Female,38
CUST4,Ubika Devi,farhanrajan@example.net,+919954431977,"H.No. 39
Mital Chowk, Patna",2022-12-02,Male,18
CUST5,Rohan Palan,aachalmahal@example.com,8336642885,"H.No. 30
Sridhar Zila, Patna",2024-08-20,Female,29
CUST6,Balvan Khare,mluthra@example.org,08929166650,"H.No. 12, Chaudhary Street, Ahmedabad",2022-04-24,Male,35
CUST7,Upma Memon,jonathantoor@example.org,+915161514580,"42/94
Choudhary Marg, Kanpur",2022-08-26,Male,63
CUST8,Veda Garg,suhanimemon@example.org,+915529696910,"H.No. 26
Kara Road, Lucknow",2023-09-22,Male,43
CUST9,Hemani Varty,champak56@example.com,+918305910691,"13
Goda, Ahmedabad",2024-08-22,Female,48
CUST10,Naksh Chhabra,bajajzaid@example.net,05473878290,"999, Bhatia Ganj, Kanpur",2023-04-25,Female,40
CUST11,Gabriel Karnik,ubhasin@example.net,4199661921,"26/18, Tank Circle, Ludhiana",2023-02-06,Female,28
CUST12,Hemang Deshpande,ysoman@example.net,2308085129,"344, Mitter Zila, Nashik",2022-01-04,Male,33
CUST13,Urishilla Minhas,oshabora@example.net,7077867781,"62/89, Nagy Nagar, Jaipur",2022-11-26,Male,30
CUST14,Banjeet Lata,binawagle@example.org,04433885941,"H.No. 976
Ahluwalia, Ludhiana",2022-10-31,Male,27
CUST15,Daniel Ganesh,falakoommen@example.org,+913290819001,"H.No. 79
Swaminathan Street, Lucknow",2024-01-17,Female,52
CUST16,Avni Gandhi,tbahl@example.net,2905799030,"200
Dada Circle, Varanasi",2023-11-25,Female,30
CUST17,Xiti Purohit,deshpandeorinder@example.com,+916256322208,"863
Pandey Chowk, Delhi",2024-12-12,Female,36
CUST18,Ekani Gera,wchoudhury@example.net,07109914114,"082, Sama Zila, Patna",2023-10-15,Female,27
CUST19,Jatin Nath,oliverkumer@example.org,1059312497,"73/487, Pandey Nagar, Surat",2022-01-16,Male,21
CUST20,Jai Balakrishnan,pradhanudarsh@example.net,1287126688,"H.No. 584
Ghosh Path, Srinagar",2022-10-16,Female,53
CUST21,Qarin Kurian,dchakraborty@example.net,2797810133,"H.No. 244, Lala Marg, Nagpur",2024-09-10,Male,51
CUST22,Yoshita Chakrabarti,kmuni@example.org,1903162675,"H.No. 47
Doctor Circle, Patna",2023-01-12,Female,26
CUST23,Nikita Tripathi,aahanakunda@example.org,06464891213,"544, Johal Road, Mumbai",2023-07-18,Male,54
CUST24,Ekta Khatri,jyotidash@example.com,+913022731938,"92/857
Swaminathan Marg, Pimpri-Chinchwad",2023-07-01,Female,63
CUST25,Nisha Bava,ocherian@example.net,8887071801,"32/65
Dutta Chowk, Agra",2024-12-01,Male,44
CUST26,Riya Palla,naveen99@example.com,01261341329,"H.No. 294
Prabhu Ganj, Ghaziabad",2023-02-14,Female,45
CUST27,Janaki Tata,ati99@example.org,04719637999,"262, Hans Nagar, Visakhapatnam",2023-04-04,Female,19
CUST28,Urmi Dara,pmisra@example.net,7496002362,"52/15
Dua Zila, Pune",2023-09-01,Female,31
